name,party,party_id,term,source,image
Dr.Mohammed bin Saeed bin Ahmed Al Ahmed,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Mohammed+bin+Saeed+bin+Ahmed+Al%20Ahmed,""
Mohammed bin Saleh bin Ali Al-Dehaim,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Mohammed+bin+Saleh+bin+Ali+Al-Dehaim,""
Mohsen Ali Faris Al-Hazmi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Mohsen+Ali+Faris+Al-Hazmi,http://www.shura.gov.sa/img/ar/cv/Img207.jpg
Her Royal Highness Princess Moudi bint Khalid bin Abdulaziz Al-Saud,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Her+Royal+Highness+Princess+Moudi+bint+Khalid+bin+Abdulaziz+Al-Saud,""
Dr.Moudi bint Mohammed bin Abdulaziz Al-Dugaither,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Moudi+bint+Mohammed+bin+Abdulaziz+Al-Dugaither,""
Mofleh Bin Dugheiman Al-Subayel Al-Rasheedi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Mufleh+Bin+Dugheiman+Al-Sabeel+Al-Rasheedy,http://www.shura.gov.sa/img/ar/cv/mufleh_alrashidi.jpg
Eng.Mufreh bin Mohammed bin Saleh Al-Saher Al-Zahrani,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Eng.Mufreh+bin+Mohammed+bin+Saleh+Al-Saher+Al-Zahrani,""
Dr.Muna bint Abdullah bin Saeed Al-Mushayt,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Muna+bint+Abdullah+bin+Saeed+Al-Mushayt,""
Dr.Muna bint Mohammed bin Saleh Al-Dosari,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Muna+bint+Mohammed+bin+Saleh+Al-Dosari,""
Dr.Mustafa bin Mohammed Al-Hassan bin Mohammed Al-Idrisi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Mustafa+bin+Mohammed+Al-Hassan+bin+Mohammed+Al-Idrisi,""
Dr.Nasser bin Ali bin Abdullah Al-Mousa,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Nasser+bin+Ali+bin+Abdullah+Al-Mousa,""
Maj.Gen.Nasser bin Ghazi bin Nasser Al-Shaibani Al-Otaibi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Maj.Gen.Nasser+bin+Ghazi+bin+Nasser+Al-Shaibani+Al-Otaibi,""
Dr.Nasser bin Rajeh bin Mohammed Al-Shahrani,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Nasser+bin+Rajeh+bin+Mohammed+Al-Shahrani,""
Dr.Nasser bin Zaid bin Nasser bin Dawood,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Nasser+bin+Zaid+bin+Nasser+bin+Dawood,""
