id,name,birth_date,death_date,term,source,image,start_date,end_date,area,faction
5010,Franck MARLIN,1964-09-30,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=5010,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/5010.jpg,2002-06-16,2007-06-25,Essonne,Apparenté Union pour la majorité présidentielle
5010,Franck MARLIN,1964-09-30,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=5010,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/5010.jpg,2007-06-10,2012-06-19,Essonne,Apparenté à l'Union pour un mouvement populaire
5010,Franck MARLIN,1964-09-30,"",14,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=5010,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/5010.jpg,2012-06-20,"",Essonne,Union pour un mouvement populaire
10647,Luc CHATEL,1964-08-15,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10647,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10647.jpg,2002-06-16,2007-06-25,Haute-Marne,Union pour la majorité présidentielle
10647,Luc CHATEL,1964-08-15,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10647,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10647.jpg,2007-06-10,2012-06-16,Haute-Marne,Union pour un mouvement populaire
10647,Luc CHATEL,1964-08-15,"",14,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10647,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10647.jpg,2012-06-20,"",Haute-Marne,Union pour un mouvement populaire
10760,Jérôme RIVIÈRE,1964-07-08,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10760,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10760.jpg,2002-06-16,2007-06-25,Alpes-Maritimes,Union pour la majorité présidentielle
1950,Jean-François COPÉ,1964-05-05,"",10,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=1950,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/1950.jpg,1995-06-19,1997-04-21,Seine-et-Marne,Rassemblement pour la République
1950,Jean-François COPÉ,1964-05-05,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=1950,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/1950.jpg,2002-06-16,2002-07-18,Seine-et-Marne,Union pour la majorité présidentielle
1950,Jean-François COPÉ,1964-05-05,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=1950,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/1950.jpg,2007-06-10,2012-06-19,Seine-et-Marne,Union pour un mouvement populaire
1950,Jean-François COPÉ,1964-05-05,"",14,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=1950,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/1950.jpg,2012-06-20,"",Seine-et-Marne,Union pour un mouvement populaire
5783,Jean-Claude PEREZ,1964-03-31,"",11,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=5783,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/5783.jpg,1997-06-01,2002-06-18,Aude,Socialiste
5783,Jean-Claude PEREZ,1964-03-31,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=5783,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/5783.jpg,2002-06-16,2007-06-25,Aude,Socialiste
5783,Jean-Claude PEREZ,1964-03-31,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=5783,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/5783.jpg,2007-06-17,2012-06-19,Aude,"Socialiste, radical et citoyen"
5783,Jean-Claude PEREZ,1964-03-31,"",14,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=5783,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/5783.jpg,2012-06-20,"",Aude,"Socialiste, républicain et citoyen"
13041,Jacques HOUSSIN,1964-02-16,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=13041,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/13041.jpg,2004-05-01,2007-06-25,Nord,Union pour un mouvement populaire
13041,Jacques HOUSSIN,1964-02-16,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=13041,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/13041.jpg,2010-04-23,2010-12-14,Nord,Union pour un mouvement populaire
10643,Yves CENSI,1964-02-08,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10643,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10643.jpg,2002-06-16,2007-06-25,Aveyron,Union pour la majorité présidentielle
10643,Yves CENSI,1964-02-08,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10643,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10643.jpg,2007-06-17,2012-06-19,Aveyron,Union pour un mouvement populaire
10643,Yves CENSI,1964-02-08,"",14,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10643,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10643.jpg,2012-06-20,"",Aveyron,Union pour un mouvement populaire
10733,Christophe MASSE,1963-11-16,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10733,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10733.jpg,2002-06-16,2007-06-25,Bouches-du-Rhône,Socialiste
