name,wikipedia__en,state,party,term,holder,source
Salvador Ortíz García,Salvador Ortíz García,Michoacán,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Francisca Elena Corrales,Francisca Elena Corrales,Sinaloa,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
María Isabel Ortíz Mantilla,María Isabel Ortíz Mantilla,Puebla,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Arturo Cruz Ramírez,Arturo Cruz Ramírez,Mexico,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Máximo Othón Zayas,Máximo Othón Zayas,Sonora,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Fernando Cuéllar Reyes,Fernando Cuéllar Reyes,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Jesús Oviedo Herrera,Jesús Oviedo Herrera,Guanajuato,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Alberto Curi Naime,Alberto Curi Naime,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Germán Pacheco Díaz,Germán Pacheco Díaz,Tamaulipas,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Mario Alberto Dávila Delgado,Mario Alberto Dávila Delgado,Coahuila,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Román Padilla Fierro,Román Padilla Fierro,Sinaloa,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Enrique De Castro Palomino,Enrique De Castro Palomino,Jalisco,PVEM,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Cesario Padilla Navarro,Cesario Padilla Navarro,Jalisco,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Carlos De Jesús Alejandro,Carlos De Jesús Alejandro,Guerrero,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
María Pariente Gavito,María Pariente Gavito,Chiapas,PVEM,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Rosalba De la Cruz Requena,Rosalba De la Cruz Requena,Tamaulipas,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Raúl Paz Alonzo,Raúl Paz Alonzo,Yucatán,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Arturo De la Rosa Escalante,Arturo De la Rosa Escalante,Baja California Sur,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Zita Beatriz Pazzi,Zita Beatriz Pazzi,Veracruz,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Sebastián De la Rosa Peláez,Sebastián De la Rosa Peláez,Guerrero,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Francisco Pelayo Covarrubias,Francisco Pelayo Covarrubias,Baja California Sur,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Jorge Federico De la Vega Membrillo,Jorge Federico De la Vega Membrillo,Mexico,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Gerardo Peña Avilés,Gerardo Peña Avilés,Sinaloa,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Fernando De las Fuentes,Fernando De las Fuentes,Coahuila,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Patricia Peña Recio,Patricia Peña Recio,Veracruz,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Juan Isidro Del Bosque,Juan Isidro Del Bosque,Veracruz,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Hugo Mauricio Pérez Anzueto,Hugo Mauricio Pérez Anzueto,Chiapas,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Paulina Alejandra Del Moral,Paulina Alejandra Del Moral,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Noel Pérez de Alba,José Noel Pérez de Alba,Jalisco,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Claudia Delgadillo González,Claudia Delgadillo González,Jalisco,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Rosa Elba Pérez,Rosa Elba Pérez,Guanajuato,PVEM,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Antonio de Jesús Díaz,Antonio de Jesús Díaz,Chiapas,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
David Pérez Tejada,David Pérez Tejada,Baja California,PVEM,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Víctor Emanuel Díaz Palacios,Víctor Emanuel Díaz Palacios,Puebla,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Norma Ponce Orozco,Norma Ponce Orozco,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Alberto Díaz Trujillo,Alberto Díaz Trujillo,Mexico,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Vicario Portillo Martínez,Vicario Portillo Martínez,Guerrero,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Eva Diego Cruz,Eva Diego Cruz,Oaxaca,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Humberto Prieto Herrera,Humberto Prieto Herrera,Tamaulipas,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Enrique Doger Guerrero,José Enrique Doger Guerrero,Puebla,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Eduardo Quian Alcocer,Eduardo Quian Alcocer,Quintana Roo,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Pedro Ignacio Domínguez,Pedro Ignacio Domínguez,Chihuahua,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Socorro Quintana León,Socorro Quintana León,Michoacán,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Ignacio Duarte Murillo,José Ignacio Duarte Murillo,Chihuahua,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Esther Quintana Salinas,Esther Quintana Salinas,Coahuila,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Catalino Duarte Ortuño,Catalino Duarte Ortuño,Guerrero,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Karen Quiroga Anguiano,Karen Quiroga Anguiano,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Irma Elizondo Ramírez,Irma Elizondo Ramírez,Coahuila,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Rangel Espinosa,José Rangel Espinosa,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Rubén Escajeda,José Rubén Escajeda,Durango,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
