id,name,term,source,gender,birth_place,birth_date,party,faction,religion
297,عبدالوهاب على محمود عبدالله,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=297,male,السليمانية,1954,الحزب الديموقراطي الكوردستاني,الحزب الديموقراطي الكوردستاني,مسلم
298,مثنى امين نادر,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=298,male,السليمانية,1972,يه ككرتووى ئيسلامى كوردستان,يه ككرتووى ئيسلامى كوردستان,مسلم
299,عادل نوري محمد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=299,male,السليمانية,1966,يه ككرتووى ئيسلامى كوردستان,يه ككرتووى ئيسلامى كوردستان,مسلم
291,سامان فتاح حسن,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=291,male,السليمانية,1968,يةكيَتى نيشتمانى كوردستان \\\\ الاتحاد الوطني الكوردستاني,يه كيتي نيشتماني كوردستان \\\\\\\\الاتحاد الوطني الكوردستاني,مسلم
290,شيركو ميرزا محمد امين احمد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=290,male,السليمانية,1967,يةكيَتى نيشتمانى كوردستان \\\\ الاتحاد الوطني الكوردستاني,يه كيتي نيشتماني كوردستان \\\\\\\\الاتحاد الوطني الكوردستاني,مسلم
281,قتيبه ابراھيم تركي جاسم,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=281,male,صلاح الدين,1974,الكتله العراقيه الحره,أئتلاف العراق,مسلم
282,نيازي محمد مھدي قنبر,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=282,male,صلاح الدين,1954,تجمع الامل,ائتلاف المواطن,مسلم
283,ئارام محمد على,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=283,male,السليمانية,1975,كوران /التغيير,كوران (التغيير),مسلم
284,ھوشيار عبدلله فتاح,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=284,male,السليمانية,1979,كوران /التغيير,كوران (التغيير),مسلم
286,مسعود حيدر رستم,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=286,male,السليمانية,1970,كوران /التغيير,كوران (التغيير),مسلم
287,امين بكر محمد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=287,male,السليمانية,1974,كوران /التغيير,كوران (التغيير),مسلم
288,شيرين رضا محمد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=288,female,السليمانية,1964,كوران /التغيير,كوران (التغيير),مسلم
289,تافكه احمد ميرزامحمد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=289,female,السليمانية,1963,كوران /التغيير,كوران (التغيير),مسلم
300,احمد حمه رشيد احمد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=300,male,السليمانية,1964,الجماعة الاسلامية الكوردستانية / العراق,الجماعة الأسلاميه الكردستانيه/العراق,مسلم
