id,group,start_date,term,area,name,end_date
73590,"""Drąsos kelias"" politinė partija",2012-11-17,11,pagal sąrašą,Jonas Varkala,
73591,"""Drąsos kelias"" politinė partija",2012-11-17,11,pagal sąrašą,Valdas Vasiliauskas,
73592,"""Drąsos kelias"" politinė partija",2012-11-17,11,pagal sąrašą,Neringa Venckienė,2014-06-19
7448,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,pagal sąrašą,Stasys Šedbaras,
7,Lietuvos socialdemokratų partija,2012-11-17,11,Žirmūnų  (Nr. 4) apygardoje,Vytenis Povilas Andriukaitis,2014-09-15
80,Lietuvos socialdemokratų partija,2012-11-17,11,Radviliškio  (Nr. 44) apygardoje,Algimantas Salamakinas,
82,Lietuvos socialdemokratų partija,2012-11-17,11,Rokiškio  (Nr. 50) apygardoje,Vytautas Saulis,
15266,Lietuvos socialdemokratų partija,2012-11-19,11,pagal sąrašą,Orinta Leiputė,
35241,Lietuvos lenkų rinkimų akcija,2012-11-19,11,pagal sąrašą,Zbignev Jedinskij,
37449,Lietuvos socialdemokratų partija,2012-11-19,11,pagal sąrašą,Gintautas Mikolaitis,
48541,Lietuvos lenkų rinkimų akcija,2012-11-19,11,pagal sąrašą,Irina Rozova,
36693,Partija Tvarka ir teisingumas,2013-03-22,11,Zarasų - Visagino  (Nr. 52) apygardoje,Algimantas Dumbrava,
73593,Lietuvos socialdemokratų partija,2013-03-22,11,Biržų - Kupiškio  (Nr. 48) apygardoje,Aleksandras Zeltinis,
74432,Lietuvos socialdemokratų partija,2013-03-22,11,Ukmergės  (Nr. 61) apygardoje,Kazys Grybauskas,
76200,,2014-06-05,11,"",Gintaras Tamošiūnas,
50121,,2014-06-26,11,"",Rimas Antanas Ručys,
47211,,2014-07-01,11,"",Arminas Lydeka,
76307,,2014-07-01,11,"",Stasys Brundza,
77109,,2015-03-24,11,"",Šarūnas Gustainis,
54990,,2015-04-14,11,"",Audrius Nakas,
71563,,2015-04-21,11,"",Viktorija Čmilytė-Nielsen,
38466,,2015-06-29,11,"",Vidas Mikalauskas,
