id,name,area,term,start_date,image,group,source_url,end_date,given_name,middle_name,family_name
15646,Гриневич Лілія Михайлівна,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/nf9.jpg,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/15646,,Михайлівна,Лілія,Гриневич
5414,Гринів Ігор Олексійович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/bp14.jpg,"Заступник голови депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/5414,,Олексійович,Ігор,Гринів
17973,Гройсман Володимир Борисович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/bp4.jpg,,http://itd.rada.gov.ua/mps/info/page/17973,,Борисович,Володимир,Гройсман
18077,Гудзенко Віталій Іванович,Виборчому округу №92,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d92_1.jpg,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/18077,,Іванович,Віталій,Гудзенко
14674,Гузь Ігор Володимирович,Виборчому округу №19,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d19_1.jpg,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/14674,,Володимирович,Ігор,Гузь
18078,Гуляєв Василь Олександрович,Виборчому округу №140,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d140_1.jpg,"Член депутатської групи ""Партія ""Відродження""",http://itd.rada.gov.ua/mps/info/page/18078,,Олександрович,Василь,Гуляєв
18036,Гусак Володимир Георгійович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/ob15.jpg,"Член депутатської фракції Політичної партії ""Опозиційний блок"" у Верховній Раді України восьмого скликання",http://itd.rada.gov.ua/mps/info/page/18036,,Георгійович,Володимир,Гусак
18079,Давиденко Валерій Миколайович,Виборчому округу №208,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d208_1.jpg,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/18079,,Миколайович,Валерій,Давиденко
18009,Данченко Олександр Іванович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/sp10.jpg,"Член депутатської фракції Політичної партії ""Об'єднання ""САМОПОМІЧ""",http://itd.rada.gov.ua/mps/info/page/18009,,Іванович,Олександр,Данченко
17956,Дейдей Євген Сергійович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/nf32.jpg,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/17956,,Сергійович,Євген,Дейдей
18080,Демчак Руслан Євгенійович,Виборчому округу №18,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d18_1.jpg,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/18080,,Євгенійович,Руслан,Демчак
15815,Денисенко Анатолій Петрович,Виборчому округу №173,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d173_1.jpg,Не входить до складу будь-якої фракції,http://itd.rada.gov.ua/mps/info/page/15815,,Петрович,Анатолій,Денисенко
