id,name,party,party_id,area,image,term
214,Mahamat Oumar Malloum,unknown,unknown,N’Djamena 05,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton214-f9bc5.jpg,2011
93,Ahmat Issa Badi,Mouvement Patriotique du Salut,MPS,N’Djamena 06,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton93-c6dff.jpg,2011
184,Beral Mbaïkoubou,unknown,unknown,N’Djamena 06,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton184-2f8b0.jpg,2011
122,Epaienete née Djimina Assil,Mouvement Patriotique du Salut,MPS,N’Djamena 07,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton122-8b36a.jpg,2011
97,Ildjima Abdraman,Union Nationale pour la Démocratie et le Renouveau,UNDR,N’Djamena 07,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton97-95391.jpg,2011
66,Madtoingar Belengar,unknown,unknown,N’Djamena 07,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton66-0cf6a.jpg,2011
78,Abdoulaye Chouah,Mouvement Patriotique du Salut,MPS,N’Djamena 08,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton78-79036.jpg,2011
175,Issakha Issa Youssouf,unknown,unknown,N’Djamena 08,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton175-82ffa.jpg,2011
134,Mamadou Ali Kourtou,Rassemblement pour la Démocratie et le Progrès,RDP,N’Djamena 08,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton134-d1a40.jpg,2011
152,Lhamdagoulou Tarya,Union Nationale pour la Démocratie et le Renouveau,UNDR,N’Djamena 09,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton152-46dcb.jpg,2011
172,Mahamat Ibni Bichara,Mouvement Patriotique du Salut,MPS,N’Djamena 09,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton172-be581.jpg,2011
120,Idrissa Blama,Mouvement Patriotique du Salut,MPS,N’Djamena 10,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton120-1cc2f.jpg,2011
53,Mahamat Idriss Ahmat Fakina,Mouvement Patriotique du Salut,MPS,N’Djamena 10,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton53-d3405.jpg,2011
52,Abakar Bechir Ahmat,Mouvement Patriotique du Salut,MPS,Ouadaï,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton52-1eb6d.jpg,2011
77,Abdelghani Ouselat,Mouvement Patriotique du Salut,MPS,Ouadaï,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton77-2a8bc.jpg,2011
87,Adoum Hamdan Mahamat,Mouvement Patriotique du Salut,MPS,Ouadaï,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton87-c3c26.jpg,2011
7,Fatouma Issakha Haroune,Mouvement Patriotique du Salut,MPS,Ouadaï,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton7-cffaa.jpg,2011
