id,name,area,group,group_id,gender,phone,term,source
403,Hon. C.L.B. Lowe,Lilongwe,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=403&mode=alps
404,Hon. E.H. Lozo,Neno,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=404&mode=alps
378,Hon. E.E. Luka,Zomba,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=378&mode=alps
399,Hon. J. Lunguzi,Dedza,Malawi Congress Party,MCP,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=399&mode=alps
439,Hon. A.T. Mailosi,Phalombe,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=439&mode=alps
375,Hon. J. Majawa,Mangochi,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=375&mode=alps
370,Hon. A.C.M. Major,Kasungu,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=370&mode=alps
308,Hon. W. Makala Ngozo,Lilongwe,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=308&mode=alps
373,Hon. P.A Dr. Makina,Zomba,Peoples Party,PP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=373&mode=alps
334,Hon. E.A Makowa-Mwale,Nkhotakota,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=334&mode=alps
331,Hon. L.L.E Malola,Chikwawa,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=331&mode=alps
