chamber,area,details_url,name,group,image,executive,term_id,term
National Assembly,Analalava,http://www.assemblee-nationale.mg/?depute=djaosera-irenee,DJAOSERA Irenée,PSD,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/15.jpg&w=200&h=auto,,,2013
National Assembly,Morafenobe,http://www.assemblee-nationale.mg/?depute=elitafa-basile,ELITAFA Basile,VP-MMM,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/16.jpg&w=200&h=auto,,,2013
National Assembly,Toamasina I,http://www.assemblee-nationale.mg/?depute=famindra-justin,FAMINDRA Justin,MAPAR,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/17.jpg&w=200&h=auto,,,2013
National Assembly,Maintirano,http://www.assemblee-nationale.mg/?depute=farhad-houssen-houssen,FARHAD Houssen Houssen,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/18.jpg&w=200&h=auto,,,2013
National Assembly,Manja,http://www.assemblee-nationale.mg/?depute=fienena-richard,TOVONAY,VP-MMM,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/19.jpg&w=200&h=auto,Député,,2013
National Assembly,Miandrivazo,http://www.assemblee-nationale.mg/?depute=hanitriniaina-mamy-armand,HANITRINIAINA Mamy Armand,MAPAR,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/20.jpg&w=200&h=auto,,,2013
National Assembly,Soavinandriana,http://www.assemblee-nationale.mg/?depute=harinosy-rabenerika-charlot,HARINOSY Rabenerika Charlot,MAPAR,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/21.jpg&w=200&h=auto,,,2013
National Assembly,Taolagnaro,http://www.assemblee-nationale.mg/?depute=hatrefindrazana-jerry,HATREFINDRAZANA Jerry,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/22.jpg&w=200&h=auto,Député,,2013
National Assembly,Toliary II,http://www.assemblee-nationale.mg/?depute=helson-brison-erafa,HELSON Brisson ERAFA,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/23.jpg&w=200&h=auto,Vice-président Toliara,,2013
National Assembly,Ambovombe Androy,http://www.assemblee-nationale.mg/?depute=henri-jean-michel-henri,HENRI Jean Michel,MAPAR,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/24.jpg&w=200&h=auto,Député,,2013
National Assembly,Soalala,http://www.assemblee-nationale.mg/?depute=houssene-abdallah,HOUSSENE Abdallah,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/25.jpg&w=200&h=auto,Député,,2013
National Assembly,Taolagnaro,http://www.assemblee-nationale.mg/?depute=ijo,IJO,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/26.jpg&w=200&h=auto,Député,,2013
National Assembly,Antsirabe I,http://www.assemblee-nationale.mg/?depute=jean-francois-michel,JEAN FRANCOIS Michel,M. RAVALOMANANA,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/27.jpg&w=200&h=auto,Député,,2013
National Assembly,Bekily,http://www.assemblee-nationale.mg/?depute=jean-daniel,JEAN Daniel,MTS,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/28.jpg&w=200&h=auto,Député,,2013
