id,name,sort_name,gender,email,area,group,group_id,term
956,Guillermo Teillier Del Valle,Teillier,male,gteillier,28,Partido Comunista,PC,6
957,Víctor Torres Jeldes,Torres,male,vtorres,15,Partido Demócrata Cristiano,DC,6
958,Joaquín Tuma Zedan,Tuma,male,jtuma,51,Partido Por la Democracia,PPD,6
959,Enrique Van Rysselberghe Herrera,Van Rysselberghe,male,evr,44,Unión Demócrata Independiente,UDI,6
960,Orlando Vargas Pizarro,Vargas,male,ovargas,1,Partido Por la Democracia,PPD,6
961,Pedro Velásquez Seguel,Velásquez,male,pvelasquez,8,Independientes,IND,6
962,Carlos Vilches Guzmán,Vilches,male,cvilches,5,Unión Demócrata Independiente,UDI,6
963,Matías Walker Prieto,Walker,male,mwalker,8,Partido Demócrata Cristiano,DC,6
964,Mónica Zalaquett Said,Zalaquett,female,mzalaquett,20,Unión Demócrata Independiente,UDI,6
965,Cristian Letelier Aguilar,Letelier,male,cletelier,31,Independientes,IND,6
966,Joel Rosales Guzmán,Rosales,male,jrosales,47,Unión Demócrata Independiente,UDI,6
967,Issa Kort Garriga,Kort,male,ikort,32,Unión Demócrata Independiente,UDI,6
800,Enrique Accorsi Opazo,Accorsi,male,eaccorsi,24,Partido Por la Democracia,PPD,5
801,René Aedo Ormeño,Aedo,male,raedo,5,Renovación Nacional,RN,5
802,Sergio Aguiló Melo,Aguiló,male,saguilo,37,Partido Socialista,PS,5
803,René Alinco Bustos,Alinco,male,ralinco,59,Partido Por la Democracia,PPD,5
804,Isabel Allende Bussi,Allende,female,iallende,29,Partido Socialista,PS,5
805,Claudio Alvarado Andrade,Alvarado,male,alvarado,58,Unión Demócrata Independiente,UDI,5
806,Pedro Pablo Alvarez-Salamanca Büchi,Alvarez-Salamanca,male,alvarez,38,Renovación Nacional,RN,5
807,Rodrigo Álvarez Zenteno,Álvarez,male,ralvarez,60,Unión Demócrata Independiente,UDI,5
808,Pedro Araya Guerrero,Araya,male,paraya,4,Independientes,IND,5
809,Gonzalo Arenas Hödar,Arenas,male,garenas,48,Unión Demócrata Independiente,UDI,5
810,Gabriel Ascencio Mansilla,Ascencio,male,ascencio,58,Partido Demócrata Cristiano,DC,5
811,Ramón Barros Montero,Barros,male,jbarros,35,Unión Demócrata Independiente,UDI,5
812,Eugenio Bauer Jouanne,Bauer,male,ebauer,33,Unión Demócrata Independiente,UDI,5
813,Germán Becker Alvear,Becker,male,gbecker,50,Renovación Nacional,RN,5
814,Mario Bertolino Rendic,Bertolino,male,mbertoli,7,Renovación Nacional,RN,5
