id,name,area,area_id,image,term,source,group,birth_year
gandymow-dowletgeldi-hudayberdiyewich,Döwletgeldi Hudaýberdiýewiç Gandymow,Daşoguz welaýaty,Köneürgenç,http://mejlis2.bushluk.com/site/assets/files/14525/57-gandymow-dh.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/gandymow-dowletgeldi-hudayberdiyewich/,"",1980
nazkulyyew-dadebay-gurbandurdyyewich,Dädebaý Gurbandurdyýewiç Nazkulyýew,Daşoguz welaýaty,Derýalyk,http://mejlis2.bushluk.com/site/assets/files/14526/58-nazkulyyew-dg.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/nazkulyyew-dadebay-gurbandurdyyewich/,"",1967
babayew-baymyrat-atanayewich,Baýmyrat Atanaýewiç Babaýew,Daşoguz welaýaty,Gürgenç,http://mejlis2.bushluk.com/site/assets/files/14527/59--babayew.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/babayew-baymyrat-atanayewich/,"",1963
saparowa-jennet-kurbanowna,Jennet Kurbanowna Saparowa,Daşoguz welaýaty,Bossan,http://mejlis2.bushluk.com/site/assets/files/14528/60-saparowa-jk.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/saparowa-jennet-kurbanowna/,"",1982
tajiyewa-tamara-nuraddinowna,Tamara Nuraddinowna Tažiýewa,Daşoguz welaýaty,S. Rozmetow,http://mejlis2.bushluk.com/site/assets/files/14529/61-taziyewa-tn.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/tajiyewa-tamara-nuraddinowna/,"",1976
annaglychew-myratglych-nuryyewich,Myratglyç Nuryýewiç Annaglyçew,Daşoguz welaýaty,Nowbahar,http://mejlis2.bushluk.com/site/assets/files/14530/62-annaglycew-mn.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/annaglychew-myratglych-nuryyewich/,"",1979
annayewa-guljemal-bekdurdyyewna,Güljemal Bekdurdyýewna Annaýewa,Daşoguz welaýaty,S.A.Nyýazow,http://mejlis2.bushluk.com/site/assets/files/14531/63-anayew-gb.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/annayewa-guljemal-bekdurdyyewna/,"",1975
sopyyew-magsat-gurbanmamedowich,Magsat Gurbanmämedowiç Sopyýew,Daşoguz welaýaty,S.Türkmenbaşy,http://mejlis2.bushluk.com/site/assets/files/14532/64-sopyyew-mg.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/sopyyew-magsat-gurbanmamedowich/,"",1984
odeshow-maksat-myradowich,Maksat Myradowiç Ödeşow,Daşoguz welaýaty,Aýböwür,http://mejlis2.bushluk.com/site/assets/files/14533/65-odesow-mm.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/odeshow-maksat-myradowich/,"",1977
atayewa-jennet-muhammedowna,Jennet Muhammedowna Ataýewa,Daşoguz welaýaty,Sarygamyş,http://mejlis2.bushluk.com/site/assets/files/14534/66-atayewa-jm.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/atayewa-jennet-muhammedowna/,"",1967
altybayew-yazdurdy-ballyyewich,Ýazdurdy Ballyýewiç Altybaýew,Daşoguz welaýaty,Ruhubelent,http://mejlis2.bushluk.com/site/assets/files/14535/67-altybayew-yb.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/altybayew-yazdurdy-ballyyewich/,"",1976
babajanowa-hajargul-owezowna,Hajargül Öwezowna Babajanowa,Lebap welaýaty,Birata,http://mejlis2.bushluk.com/site/assets/files/14536/68-babajanowa-ho.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/babajanowa-hajargul-owezowna/,"",1963
durdyyew-ramazan-mustapakulyyewich,Ramazan Mustapakulyýewiç Durdyýew,Lebap welaýaty,Seýdi,http://mejlis2.bushluk.com/site/assets/files/14537/69-durdyyew-rm.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/durdyyew-ramazan-mustapakulyyewich/,"",1963
berdiyewa-gulchehra-haydarowna,Gülçehra Haýdarowna Berdiýewa,Lebap welaýaty,Galkynyş,http://mejlis2.bushluk.com/site/assets/files/14538/70-berdiyewa-gh.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/berdiyewa-gulchehra-haydarowna/,"",1980
halbayewa-joragul-myrzayewna,Joragül Myrzaýewna Halbaýewa,Lebap welaýaty,Asuda,http://mejlis2.bushluk.com/site/assets/files/14539/71-halbayewa-jm.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/halbayewa-joragul-myrzayewna/,"",1971
shukurow-babamyrat-shayymowich,Babamyrat Şaýymowiç Şükürow,Lebap welaýaty,Hojagala,http://mejlis2.bushluk.com/site/assets/files/14540/72-sukurow-bs.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/shukurow-babamyrat-shayymowich/,"",1971
babayew-narmamet-rahmanowich,Narmamet Rahmanowiç Babaýew,Lebap welaýaty,Amyderýa,http://mejlis2.bushluk.com/site/assets/files/14541/73-babayew-nr.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/babayew-narmamet-rahmanowich/,"",1973
bazarow-batyr-aganazarowich,Batyr Aganazarowiç Bazarow,Lebap welaýaty,Zergär,http://mejlis2.bushluk.com/site/assets/files/14542/74-bazarow-ba.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/bazarow-batyr-aganazarowich/,"",1976
hudayberenow-arslan-eyeyewich,Arslan Eýeýewiç Hudaýberenow,Lebap welaýaty,Serdarabat,http://mejlis2.bushluk.com/site/assets/files/14543/75-hudayberdiyew-ae.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/hudayberenow-arslan-eyeyewich/,"",1977
astanow-dowletmyrat-sunnetowich,Döwletmyrat Sünnetowiç Astanow,Lebap welaýaty,Farap,http://mejlis2.bushluk.com/site/assets/files/14544/76-astanow-ds.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/astanow-dowletmyrat-sunnetowich/,"",1972
ibragimow-batyr-sapargulyyewich,Batyr Sapargulyýewiç Ibragimow,Lebap welaýaty,Jeýhun,http://mejlis2.bushluk.com/site/assets/files/14545/77-ibragimow-bs.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/ibragimow-batyr-sapargulyyewich/,"",1965
lazarewa-yelena-wiktorowna,Ýelena Wiktorowna Lazarewa,Lebap welaýaty,Ýaşlyk,http://mejlis2.bushluk.com/site/assets/files/14546/78-lazarewa-yw.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/lazarewa-yelena-wiktorowna/,"",1977
orazow-batyr-charyyewich,Batyr Çaryýewiç Orazow,Lebap welaýaty,Türkmenabat,http://mejlis2.bushluk.com/site/assets/files/14547/79--orazow.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/orazow-batyr-charyyewich/,"",1967
seytiyew-nurmyrat-rozymyradowich,Nurmyrat Rozymyradowiç Seýtiýew,Lebap welaýaty,Lebap,http://mejlis2.bushluk.com/site/assets/files/14548/80-seytiyew-nr.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/seytiyew-nurmyrat-rozymyradowich/,"",1979
sheripow-yoldash-hallyyewich,Ýoldaş Hallyýewiç Şeripow,Lebap welaýaty,Amul,http://mejlis2.bushluk.com/site/assets/files/14549/81--seripow.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/sheripow-yoldash-hallyyewich/,"",1973
mamedow-shohrat-tagaymuradowich,Şöhrat Tagaýmuradowiç Mamedow,Lebap welaýaty,Sakar,http://mejlis2.bushluk.com/site/assets/files/14550/82-mamedow-st.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/mamedow-shohrat-tagaymuradowich/,"",1972
rowshenow-rozy-babagulyyewich,Rozy Babagulyýewiç Röwşenow,Lebap welaýaty,Saýat,http://mejlis2.bushluk.com/site/assets/files/14551/83-rowsenow-rb.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/rowshenow-rozy-babagulyyewich/,"",1958
gurbanow-berdi-begmyradowich,Berdi Begmyradowiç Gurbanow,Lebap welaýaty,Garabekewül,http://mejlis2.bushluk.com/site/assets/files/14552/84-gurbanow-bb.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/gurbanow-berdi-begmyradowich/,"",1981
owlyagulyyew-astanaguly,Astanaguly Öwlýagulyýew,Lebap welaýaty,Pelwert,http://mejlis2.bushluk.com/site/assets/files/14553/85-owlyagulyyew-a.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/owlyagulyyew-astanaguly/,"",1965
nepesowa-aynabat-dowletgeldiyewna,Aýnabat Döwletgeldiýewna Nepesowa,Lebap welaýaty,Halaç,http://mejlis2.bushluk.com/site/assets/files/14554/86-nepesowa-ad.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/nepesowa-aynabat-dowletgeldiyewna/,"",1972
